movieId,n_i,popularity_pct
1,49695,35.88
2,22243,16.06
3,12735,9.2
4,2756,1.99
5,12161,8.78
6,23899,17.26
7,12961,9.36
8,1415,1.02
9,3960,2.86
10,29005,20.94
11,18162,13.11
12,3845,2.78
13,1461,1.05
14,6022,4.35
15,2910,2.1
16,17394,12.56
17,20667,14.92
18,5203,3.76
19,20938,15.12
20,4084,2.95
21,24116,17.41
22,9928,7.17
23,4250,3.07
24,7971,5.76
25,21553,15.56
26,2755,1.99
27,1642,1.19
28,3154,2.28
29,8520,6.15
30,1281,0.92
31,9435,6.81
32,44980,32.48
33,65,0.05
34,32255,23.29
35,1493,1.08
36,20809,15.03
37,85,0.06
38,552,0.4
39,26254,18.96
40,886,0.64
41,4689,3.39
42,2467,1.78
43,2552,1.84
44,10697,7.72
45,8933,6.45
46,3205,2.31
47,43249,31.23
48,13046,9.42
49,236,0.17
50,47006,33.94
51,27,0.02
52,9320,6.73
53,150,0.11
54,956,0.69
55,939,0.68
56,70,0.05
57,2439,1.76
58,11549,8.34
59,191,0.14
60,6313,4.56
61,2281,1.65
62,19381,13.99
63,2334,1.69
64,2086,1.51
65,4864,3.51
66,2371,1.71
67,170,0.12
68,1238,0.89
69,4288,3.1
70,12712,9.18
71,1295,0.94
72,1230,0.89
73,2955,2.13
74,3514,2.54
75,558,0.4
76,3380,2.44
77,221,0.16
78,1226,0.89
79,5535,4.0
80,575,0.42
81,3209,2.32
82,2538,1.83
83,594,0.43
84,158,0.11
85,2714,1.96
86,4308,3.11
87,976,0.7
88,4864,3.51
89,3247,2.34
90,214,0.15
92,2303,1.66
93,1966,1.42
94,4030,2.91
95,22104,15.96
96,483,0.35
97,1963,1.42
98,81,0.06
99,726,0.52
100,4115,2.97
101,4298,3.1
102,1992,1.44
103,1133,0.82
104,17915,12.94
105,9620,6.95
106,134,0.1
107,6376,4.6
108,125,0.09
109,16,0.01
110,53769,38.82
111,24481,17.68
112,11890,8.59
113,1089,0.79
114,247,0.18
115,38,0.03
116,949,0.69
117,1264,0.91
118,1136,0.82
119,264,0.19
120,147,0.11
121,837,0.6
122,3888,2.81
123,2309,1.67
124,319,0.23
125,3518,2.54
126,1376,0.99
127,41,0.03
128,75,0.05
129,190,0.14
130,39,0.03
131,194,0.14
132,2123,1.53
133,19,0.01
134,36,0.03
135,6305,4.55
136,102,0.07
137,226,0.16
138,137,0.1
139,41,0.03
140,5073,3.66
141,22020,15.9
142,41,0.03
143,14,0.01
144,4505,3.25
145,11975,8.65
146,580,0.42
147,4118,2.97
148,357,0.26
149,1091,0.79
150,47777,34.5
151,12616,9.11
152,651,0.47
153,32867,23.73
154,3010,2.17
155,1276,0.92
156,1663,1.2
157,2596,1.87
158,12625,9.12
159,2366,1.71
160,14965,10.81
161,23628,17.06
162,5995,4.33
163,14321,10.34
164,4435,3.2
165,33940,24.51
166,650,0.47
167,79,0.06
168,12084,8.73
169,3358,2.42
170,7875,5.69
171,1427,1.03
172,12706,9.17
173,14993,10.83
174,2124,1.53
175,4801,3.47
176,2363,1.71
177,2314,1.67
178,500,0.36
179,1229,0.89
180,8400,6.07
181,2655,1.92
182,697,0.5
183,614,0.44
184,328,0.24
185,24618,17.78
186,11222,8.1
187,943,0.68
188,2498,1.8
189,336,0.24
190,960,0.69
191,1664,1.2
192,81,0.06
193,7464,5.39
194,5937,4.29
195,3242,2.34
196,13628,9.84
197,110,0.08
198,9143,6.6
199,1516,1.09
200,339,0.24
201,365,0.26
202,389,0.28
203,5429,3.92
204,8335,6.02
205,1355,0.98
206,1038,0.75
207,5414,3.91
208,27775,20.06
209,745,0.54
210,482,0.35
211,579,0.42
212,447,0.32
213,1872,1.35
214,942,0.68
215,5348,3.86
216,8547,6.17
217,1014,0.73
218,4248,3.07
219,633,0.46
220,275,0.2
222,5968,4.31
223,23695,17.11
224,8581,6.2
225,12662,9.14
226,43,0.03
227,4640,3.35
228,475,0.34
229,2428,1.75
230,7284,5.26
231,32085,23.17
232,6150,4.44
233,3478,2.51
234,3269,2.36
235,16419,11.86
236,12215,8.82
237,6422,4.64
238,834,0.6
239,3178,2.29
240,837,0.6
241,562,0.41
242,1076,0.78
243,439,0.32
244,285,0.21
245,255,0.18
246,10432,7.53
247,7681,5.55
248,3161,2.28
249,4950,3.57
250,892,0.64
251,388,0.28
252,10074,7.27
253,27568,19.91
254,629,0.45
255,1081,0.78
256,9890,7.14
257,3811,2.75
258,1710,1.23
259,1996,1.44
260,54502,39.35
261,10367,7.49
262,4217,3.04
263,395,0.29
264,159,0.11
265,11975,8.65
266,16171,11.68
267,3792,2.74
268,728,0.53
269,600,0.43
270,1315,0.95
271,1257,0.91
272,7871,5.68
273,7424,5.36
274,1181,0.85
275,1564,1.13
276,5459,3.94
277,9140,6.6
278,1157,0.84
279,936,0.68
280,5104,3.69
281,3936,2.84
282,11249,8.12
283,232,0.17
284,36,0.03
285,86,0.06
286,109,0.08
287,329,0.24
288,23610,17.05
289,3192,2.3
290,4042,2.92
291,656,0.47
292,26246,18.95
293,25804,18.63
294,851,0.61
295,469,0.34
296,67310,48.6
297,266,0.19
298,244,0.18
299,2626,1.9
300,20601,14.88
301,469,0.34
302,1564,1.13
303,6945,5.01
304,724,0.52
305,3429,2.48
306,7252,5.24
307,6676,4.82
308,5170,3.73
309,459,0.33
310,245,0.18
311,81,0.06
312,1325,0.96
313,1173,0.85
314,4124,2.98
315,11164,8.06
316,31799,22.96
317,16183,11.69
318,63366,45.75
319,7180,5.18
320,319,0.23
321,922,0.67
322,2986,2.16
324,469,0.34
325,1036,0.75
326,1333,0.96
327,7159,5.17
328,2427,1.75
329,26404,19.07
330,1536,1.11
331,559,0.4
332,2085,1.51
333,10962,7.92
334,1638,1.18
335,397,0.29
336,295,0.21
337,17881,12.91
338,4652,3.36
339,23214,16.76
340,1467,1.06
341,400,0.29
342,11690,8.44
343,934,0.67
344,38226,27.6
345,10312,7.45
346,1129,0.82
347,1542,1.11
348,8038,5.8
349,29571,21.35
350,15833,11.43
351,3667,2.65
352,1343,0.97
353,16524,11.93
354,1237,0.89
355,9939,7.18
356,66172,47.78
357,27699,20.0
358,2273,1.64
359,277,0.2
360,2101,1.52
361,4993,3.61
362,7629,5.51
363,643,0.46
364,38991,28.15
365,1825,1.32
366,2628,1.9
367,34384,24.83
368,17062,12.32
369,1120,0.81
370,14261,10.3
371,4313,3.11
372,8010,5.78
