userId,n_u,pct_items_rated
1,175,0.65
2,61,0.23
3,187,0.7
4,28,0.1
5,66,0.25
6,24,0.09
7,276,1.03
8,70,0.26
9,35,0.13
10,38,0.14
11,504,1.88
12,36,0.13
13,62,0.23
14,243,0.91
15,49,0.18
16,60,0.22
17,26,0.1
18,121,0.45
19,50,0.19
20,28,0.1
21,163,0.61
22,133,0.5
23,102,0.38
24,506,1.89
25,121,0.45
26,61,0.23
27,69,0.26
28,32,0.12
29,177,0.66
30,31,0.12
31,246,0.92
32,73,0.27
33,50,0.19
34,93,0.35
35,195,0.73
36,20,0.07
37,20,0.07
38,74,0.28
39,20,0.07
40,73,0.27
41,59,0.22
42,51,0.19
43,87,0.33
44,33,0.12
45,44,0.16
46,122,0.46
47,50,0.19
48,99,0.37
49,30,0.11
50,99,0.37
51,102,0.38
52,20,0.07
53,206,0.77
54,710,2.65
55,30,0.11
56,179,0.67
57,24,0.09
58,657,2.46
59,25,0.09
60,72,0.27
61,194,0.73
62,27,0.1
63,49,0.18
64,32,0.12
65,78,0.29
66,52,0.19
67,66,0.25
68,32,0.12
69,273,1.02
70,116,0.43
71,45,0.17
72,84,0.31
73,187,0.7
74,67,0.25
75,47,0.18
76,49,0.18
77,100,0.37
78,56,0.21
79,25,0.09
80,25,0.09
81,23,0.09
82,270,1.01
83,37,0.14
84,36,0.13
85,69,0.26
86,39,0.15
87,35,0.13
88,163,0.61
89,121,0.45
90,127,0.47
91,666,2.49
92,32,0.12
93,55,0.21
94,26,0.1
95,25,0.09
96,449,1.68
97,39,0.15
98,80,0.3
99,56,0.21
100,52,0.19
101,123,0.46
102,89,0.33
103,141,0.53
104,998,3.73
105,26,0.1
106,33,0.12
107,53,0.2
108,90,0.34
109,166,0.62
110,64,0.24
111,23,0.09
112,110,0.41
113,28,0.1
114,67,0.25
115,62,0.23
116,1110,4.15
117,62,0.23
118,32,0.12
119,30,0.11
120,48,0.18
121,92,0.34
122,65,0.24
123,22,0.08
124,295,1.1
125,66,0.25
126,32,0.12
127,69,0.26
128,57,0.21
129,287,1.07
130,260,0.97
131,431,1.61
132,335,1.25
133,351,1.31
134,585,2.19
135,153,0.57
136,96,0.36
137,380,1.42
138,82,0.31
139,30,0.11
140,255,0.95
141,60,0.22
142,64,0.24
143,40,0.15
144,127,0.47
145,28,0.1
146,22,0.08
147,312,1.17
148,128,0.48
149,29,0.11
150,26,0.1
151,55,0.21
152,154,0.58
153,128,0.48
154,211,0.79
155,63,0.24
156,2179,8.15
157,114,0.43
158,190,0.71
159,26,0.1
160,153,0.57
161,25,0.09
162,190,0.71
163,71,0.27
164,70,0.26
165,112,0.42
166,20,0.07
167,44,0.16
168,105,0.39
169,139,0.52
170,203,0.76
171,27,0.1
172,36,0.13
173,29,0.11
174,25,0.09
175,86,0.32
176,25,0.09
177,20,0.07
178,48,0.18
179,21,0.08
180,22,0.08
181,30,0.11
182,71,0.27
183,51,0.19
184,192,0.72
185,26,0.1
186,84,0.31
187,23,0.09
188,73,0.27
189,160,0.6
190,93,0.35
191,24,0.09
192,65,0.24
193,22,0.08
194,28,0.1
195,92,0.34
196,90,0.34
197,22,0.08
198,45,0.17
199,31,0.12
200,78,0.29
201,100,0.37
202,86,0.32
203,50,0.19
204,73,0.27
205,156,0.58
206,221,0.83
207,56,0.21
208,1288,4.82
209,80,0.3
210,24,0.09
211,63,0.24
212,50,0.19
213,80,0.3
214,29,0.11
215,314,1.17
216,42,0.16
217,22,0.08
218,180,0.67
219,55,0.21
220,407,1.52
221,36,0.13
222,39,0.15
223,35,0.13
224,27,0.1
225,54,0.2
226,23,0.09
227,21,0.08
228,35,0.13
229,158,0.59
230,50,0.19
231,27,0.1
232,126,0.47
233,83,0.31
234,30,0.11
235,99,0.37
236,36,0.13
237,198,0.74
238,263,0.98
239,288,1.08
240,92,0.34
241,143,0.53
242,65,0.24
243,20,0.07
244,56,0.21
245,396,1.48
246,89,0.33
247,608,2.27
248,272,1.02
249,52,0.19
250,20,0.07
251,516,1.93
252,86,0.32
253,42,0.16
254,165,0.62
255,43,0.16
256,64,0.24
257,20,0.07
258,560,2.09
259,52,0.19
260,78,0.29
261,23,0.09
262,41,0.15
263,59,0.22
264,161,0.6
265,112,0.42
266,124,0.46
267,194,0.73
268,23,0.09
269,103,0.39
270,81,0.3
271,620,2.32
272,71,0.27
273,109,0.41
274,22,0.08
275,62,0.23
276,23,0.09
277,45,0.17
278,424,1.59
279,239,0.89
280,256,0.96
281,31,0.12
282,40,0.15
283,302,1.13
284,118,0.44
285,193,0.72
286,64,0.24
287,20,0.07
288,34,0.13
289,78,0.29
290,84,0.31
291,22,0.08
292,82,0.31
293,23,0.09
294,655,2.45
295,324,1.21
296,25,0.09
297,21,0.08
298,1127,4.21
299,57,0.21
300,24,0.09
301,47,0.18
302,32,0.12
303,46,0.17
304,101,0.38
305,24,0.09
306,130,0.49
307,33,0.12
308,51,0.19
309,398,1.49
310,84,0.31
311,346,1.29
312,131,0.49
313,202,0.76
314,118,0.44
315,65,0.24
316,129,0.48
317,231,0.86
318,511,1.91
319,26,0.1
320,62,0.23
321,45,0.17
322,25,0.09
323,52,0.19
324,39,0.15
325,20,0.07
326,21,0.08
327,24,0.09
328,20,0.07
329,23,0.09
330,220,0.82
331,129,0.48
332,86,0.32
333,54,0.2
334,177,0.66
335,129,0.48
336,41,0.15
337,324,1.21
338,59,0.22
339,76,0.28
340,117,0.44
341,20,0.07
342,88,0.33
343,160,0.6
344,267,1.0
345,20,0.07
346,101,0.38
347,778,2.91
348,786,2.94
349,101,0.38
350,56,0.21
351,100,0.37
352,32,0.12
353,35,0.13
354,50,0.19
355,25,0.09
356,30,0.11
357,49,0.18
358,104,0.39
359,1300,4.86
360,209,0.78
361,80,0.3
362,20,0.07
363,42,0.16
364,44,0.16
365,61,0.23
366,41,0.15
367,739,2.76
368,58,0.22
369,77,0.29
370,680,2.54
371,20,0.07
372,80,0.3
373,39,0.15
374,82,0.31
375,409,1.53
376,50,0.19
377,199,0.74
378,278,1.04
379,94,0.35
380,146,0.55
381,65,0.24
382,53,0.2
383,142,0.53
384,77,0.29
385,53,0.2
386,261,0.98
387,399,1.49
388,737,2.76
389,230,0.86
390,87,0.33
391,36,0.13
392,21,0.08
393,20,0.07
394,1212,4.53
395,123,0.46
396,20,0.07
397,37,0.14
398,70,0.26
399,101,0.38
400,64,0.24
401,133,0.5
402,115,0.43
403,24,0.09
404,20,0.07
405,21,0.08
406,95,0.36
407,106,0.4
408,21,0.08
409,275,1.03
410,28,0.1
411,306,1.14
412,172,0.64
413,708,2.65
414,65,0.24
415,330,1.23
416,98,0.37
417,378,1.41
418,60,0.22
419,92,0.34
420,20,0.07
421,465,1.74
422,583,2.18
423,51,0.19
424,918,3.43
425,385,1.44
426,42,0.16
427,298,1.11
428,30,0.11
429,74,0.28
430,417,1.56
431,79,0.3
432,30,0.11
433,41,0.15
434,22,0.08
435,134,0.5
436,151,0.56
437,26,0.1
438,79,0.3
439,71,0.27
440,297,1.11
441,96,0.36
442,77,0.29
443,43,0.16
444,51,0.19
445,303,1.13
446,42,0.16
447,51,0.19
448,228,0.85
449,116,0.43
450,27,0.1
451,383,1.43
452,34,0.13
453,97,0.36
454,20,0.07
455,325,1.22
456,117,0.44
457,426,1.59
458,51,0.19
459,289,1.08
460,28,0.1
461,228,0.85
462,328,1.23
463,80,0.3
464,20,0.07
465,132,0.49
466,191,0.71
467,30,0.11
468,52,0.19
469,469,1.75
470,29,0.11
471,548,2.05
472,72,0.27
473,315,1.18
474,141,0.53
475,198,0.74
476,44,0.16
477,32,0.12
478,67,0.25
479,355,1.33
480,22,0.08
481,44,0.16
482,141,0.53
483,39,0.15
484,51,0.19
485,229,0.86
486,220,0.82
487,34,0.13
488,301,1.13
489,450,1.68
490,155,0.58
491,33,0.12
492,391,1.46
