asin,title,main_category,price,average_rating,rating_number,features,description,images
B00000000,BrandE Fragrance Product 0,Fragrance,35.68087058126293,4.559382000545538,30,"['Feature 0', 'Feature 1', 'Feature 2']",High quality fragrance product with premium ingredients,['https://placeholder-images.com/product_0.jpg']
B00000001,BrandC Makeup Product 1,Makeup,23.996488214520404,3.918497783931734,382,"['Feature 0', 'Feature 1', 'Feature 2']",High quality makeup product with premium ingredients,['https://placeholder-images.com/product_1.jpg']
B00000002,BrandC Fragrance Product 2,Fragrance,12.881829201412343,4.939819704323988,501,"['Feature 0', 'Feature 1', 'Feature 2']",High quality fragrance product with premium ingredients,['https://placeholder-images.com/product_2.jpg']
B00000003,BrandF Bath Product 3,Bath,10.109027217742007,4.984423118582435,170,"['Feature 0', 'Feature 1', 'Feature 2']",High quality bath product with premium ingredients,['https://placeholder-images.com/product_3.jpg']
B00000004,BrandB Fragrance Product 4,Fragrance,83.4659004285133,3.8638900372842313,570,"['Feature 0', 'Feature 1', 'Feature 2']",High quality fragrance product with premium ingredients,['https://placeholder-images.com/product_4.jpg']
B00000005,BrandC Haircare Product 5,Haircare,65.98053604013577,3.093331326427231,709,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_5.jpg']
B00000006,BrandF Bath Product 6,Bath,119.9246345950219,3.3993475643167193,576,"['Feature 0', 'Feature 1', 'Feature 2']",High quality bath product with premium ingredients,['https://placeholder-images.com/product_6.jpg']
B00000007,BrandA Fragrance Product 7,Fragrance,16.50305778079968,4.215089703802876,30,"['Feature 0', 'Feature 1', 'Feature 2']",High quality fragrance product with premium ingredients,['https://placeholder-images.com/product_7.jpg']
B00000008,BrandB Skincare Product 8,Skincare,142.84397521546666,4.931264066149119,251,"['Feature 0', 'Feature 1', 'Feature 2']",High quality skincare product with premium ingredients,['https://placeholder-images.com/product_8.jpg']
B00000009,BrandA Makeup Product 9,Makeup,12.235275310829987,3.4617876512442978,101,"['Feature 0', 'Feature 1', 'Feature 2']",High quality makeup product with premium ingredients,['https://placeholder-images.com/product_9.jpg']
B00000010,BrandD Fragrance Product 10,Fragrance,79.32476741557782,3.068777042230437,215,"['Feature 0', 'Feature 1', 'Feature 2']",High quality fragrance product with premium ingredients,['https://placeholder-images.com/product_10.jpg']
B00000011,BrandD Skincare Product 11,Skincare,35.51305229032873,4.510722820635305,399,"['Feature 0', 'Feature 1', 'Feature 2']",High quality skincare product with premium ingredients,['https://placeholder-images.com/product_11.jpg']
B00000012,BrandB Bath Product 12,Bath,89.47804589479881,3.062626584911117,411,"['Feature 0', 'Feature 1', 'Feature 2']",High quality bath product with premium ingredients,['https://placeholder-images.com/product_12.jpg']
B00000013,BrandD Makeup Product 13,Makeup,141.5298518189865,4.789654700855298,279,"['Feature 0', 'Feature 1', 'Feature 2']",High quality makeup product with premium ingredients,['https://placeholder-images.com/product_13.jpg']
B00000014,BrandD Bath Product 14,Bath,16.33182044747533,3.650660661526529,729,"['Feature 0', 'Feature 1', 'Feature 2']",High quality bath product with premium ingredients,['https://placeholder-images.com/product_14.jpg']
B00000015,BrandB Tools Product 15,Tools,85.55689853447117,4.173502331327697,226,"['Feature 0', 'Feature 1', 'Feature 2']",High quality tools product with premium ingredients,['https://placeholder-images.com/product_15.jpg']
B00000016,BrandD Fragrance Product 16,Fragrance,85.97745164215479,3.2818484499495253,24,"['Feature 0', 'Feature 1', 'Feature 2']",High quality fragrance product with premium ingredients,['https://placeholder-images.com/product_16.jpg']
